country_code,timezone_name,standard_offset,dst_offset,dst_start,dst_end,is_default
AE,Asia/Dubai,240,240,NULL,NULL,1
AR,America/Buenos_Aires,-180,-180,NULL,NULL,1
AT,Europe/Vienna,60,120,31/03/2024 2:00,27/10/2024 3:00,1
AU,Australia/Sydney,600,660,6/10/2024 2:00,7/04/2024 3:00,1
AU,Australia/Adelaide,570,630,6/10/2024 2:00,7/04/2024 3:00,0
AU,Australia/Perth,480,480,NULL,NULL,0
BE,Europe/Brussels,60,120,31/03/2024 2:00,27/10/2024 3:00,1
BR,America/Sao_Paulo,-180,-120,NULL,NULL,1
CA,America/Toronto,-300,-240,10/03/2024 2:00,3/11/2024 2:00,1
CA,America/Vancouver,-480,-420,10/03/2024 2:00,3/11/2024 2:00,0
CH,Europe/Zurich,60,120,31/03/2024 2:00,27/10/2024 3:00,1
CL,America/Santiago,-240,-240,NULL,NULL,1
CN,Asia/Shanghai,480,480,NULL,NULL,1
CO,America/Bogota,-300,-240,NULL,NULL,1
DE,Europe/Berlin,60,120,31/03/2024 2:00,27/10/2024 3:00,1
DK,Europe/Copenhagen,60,120,31/03/2024 2:00,27/10/2024 3:00,1
EG,Africa/Cairo,120,120,NULL,NULL,1
ES,Europe/Madrid,60,120,31/03/2024 2:00,27/10/2024 3:00,1
FR,Europe/Paris,60,120,31/03/2024 2:00,27/10/2024 3:00,1
GB,Europe/London,0,60,31/03/2024 1:00,27/10/2024 1:00,1
GR,Europe/Athens,120,180,31/03/2024 2:00,27/10/2024 3:00,1
HR,Europe/Zagreb,60,120,31/03/2024 2:00,27/10/2024 3:00,1
HU,Europe/Budapest,60,120,31/03/2024 2:00,27/10/2024 3:00,1
ID,Asia/Jakarta,420,420,NULL,NULL,1
IE,Europe/Dublin,0,60,31/03/2024 1:00,27/10/2024 1:00,1
IN,Asia/Kolkata,330,330,NULL,NULL,1
IT,Europe/Rome,60,120,31/03/2024 2:00,27/10/2024 3:00,1
JP,Asia/Tokyo,540,540,NULL,NULL,1
LT,Europe/Vilnius,120,180,31/03/2024 2:00,27/10/2024 3:00,1
LU,Europe/Luxembourg,60,120,31/03/2024 2:00,27/10/2024 3:00,1
LV,Europe/Riga,120,180,31/03/2024 2:00,27/10/2024 3:00,1
MT,Europe/Malta,60,120,31/03/2024 2:00,27/10/2024 3:00,1
MX,America/Mexico_City,-360,-360,NULL,NULL,1
MY,Asia/Kuala_Lumpur,480,480,NULL,NULL,1
NL,Europe/Amsterdam,60,120,31/03/2024 2:00,27/10/2024 3:00,1
NO,Europe/Oslo,60,120,31/03/2024 2:00,27/10/2024 3:00,1
NZ,Pacific/Auckland,720,780,29/09/2024 2:00,7/04/2024 3:00,1
NZ,Pacific/Chatham,765,819,29/09/2024 2:45,7/04/2024 3:45,0
PE,America/Lima,-300,-300,NULL,NULL,1
PH,Asia/Manila,480,480,NULL,NULL,1
PK,Asia/Karachi,300,300,NULL,NULL,1
PL,Europe/Warsaw,60,120,31/03/2024 2:00,27/10/2024 3:00,1
PT,Europe/Lisbon,0,60,31/03/2024 1:00,27/10/2024 1:00,1
RO,Europe/Bucharest,120,180,31/03/2024 2:00,27/10/2024 3:00,1
RS,Europe/Belgrade,60,120,31/03/2024 2:00,27/10/2024 3:00,1
RU,Europe/Moscow,180,180,NULL,NULL,1
SA,Asia/Riyadh,180,180,NULL,NULL,1
SE,Europe/Stockholm,60,120,31/03/2024 2:00,27/10/2024 3:00,1
SG,Asia/Singapore,480,480,NULL,NULL,1
SI,Europe/Ljubljana,60,120,31/03/2024 2:00,27/10/2024 3:00,1
SK,Europe/Bratislava,60,120,31/03/2024 2:00,27/10/2024 3:00,1
TH,Asia/Bangkok,420,420,NULL,NULL,1
TR,Europe/Istanbul,180,180,NULL,NULL,1
UA,Europe/Kiev,120,180,31/03/2024 2:00,27/10/2024 3:00,1
US,America/New_York,-300,-240,10/03/2024 2:00,3/11/2024 2:00,1
US,America/Chicago,-360,-300,10/03/2024 2:00,3/11/2024 2:00,0
US,America/Denver,-420,-360,10/03/2024 2:00,3/11/2024 2:00,0
US,America/Los_Angeles,-480,-420,10/03/2024 2:00,3/11/2024 2:00,0
VN,Asia/Ho_Chi_Minh,420,420,NULL,NULL,1
ZA,Africa/Johannesburg,120,120,NULL,NULL,1
